row#,Name,FIPS,Source,ToxPi Score,Baseline.Health,Baseline.SocialEconomic,Baseline.Infrastructure,Baseline.Environment,ClimateChange.Health,ClimateChange.SocialEconomic,ClimateChange.ExtremeEvents
1,"AL, Autauga, 01001020100",1001020100,"+32.4771112,-086.4903033",0.546216212,0.568664478,0.347269501,0.732833702,0.398843319,0.578562291,0.704440296,0.492899898
2,"AL, Autauga, 01001020200",1001020200,"+32.4757580,-086.4724678",0.569994206,0.634839468,0.465071708,0.733839872,0.41901027,0.575907736,0.684673041,0.476617346
3,"AL, Autauga, 01001020300",1001020300,"+32.4740243,-086.4597033",0.570011468,0.612754144,0.48651671,0.702673564,0.453286622,0.550158821,0.704285238,0.48040518
4,"AL, Autauga, 01001020400",1001020400,"+32.4710782,-086.4446805",0.530080977,0.544414945,0.29836753,0.606971218,0.471171835,0.576400523,0.730393575,0.482847213
5,"AL, Autauga, 01001020500",1001020500,"+32.4589157,-086.4218165",0.545900011,0.448535551,0.407200247,0.662447033,0.458221338,0.573248043,0.788434469,0.483213401
6,"AL, Autauga, 01001020600",1001020600,"+32.4473470,-086.4768023",0.581698178,0.689118918,0.43749651,0.623469737,0.520644523,0.576318563,0.737150867,0.487688129
7,"AL, Autauga, 01001020700",1001020700,"+32.4305220,-086.4369107",0.631150208,0.751800319,0.557054345,0.710833042,0.595204154,0.577345286,0.728165627,0.497648685
8,"AL, Autauga, 01001020801",1001020801,"+32.4117228,-086.5316830",0.538721639,0.536750502,0.340673037,0.629889788,0.461126561,0.582374553,0.705868468,0.514368564
9,"AL, Autauga, 01001020802",1001020802,"+32.5471327,-086.5315960",0.5605186,0.533538561,0.424952692,0.763751733,0.36484771,0.619819532,0.712257155,0.50446282
10,"AL, Autauga, 01001020900",1001020900,"+32.6370123,-086.5149469",0.542794885,0.560725702,0.346226083,0.734949521,0.341979011,0.630632577,0.681193743,0.503857559
11,"AL, Autauga, 01001021000",1001021000,"+32.6049320,-086.7487062",0.559239502,0.677779873,0.468586321,0.656303313,0.352462704,0.60388747,0.643318632,0.512338201
12,"AL, Autauga, 01001021100",1001021100,"+32.4574129,-086.7290029",0.602584577,0.741957348,0.501290315,0.785811074,0.37390079,0.578444114,0.717806622,0.518881777
13,"AL, Baldwin, 01003010100",1003010100,"+31.1118693,-087.7880651",0.585610515,0.661453959,0.42325164,0.60909602,0.408361868,0.600149996,0.771191515,0.625768611
14,"AL, Baldwin, 01003010200",1003010200,"+30.9478929,-087.6787306",0.602925886,0.729924105,0.550298016,0.597959943,0.40598881,0.599156494,0.737887913,0.599265918
15,"AL, Baldwin, 01003010300",1003010300,"+30.8244356,-087.8710563",0.573818532,0.598864601,0.439169386,0.523808401,0.367944676,0.585347593,0.812199082,0.689395988
16,"AL, Baldwin, 01003010400",1003010400,"+30.7200267,-087.6245437",0.550696112,0.558295089,0.311937778,0.536985418,0.443783248,0.592337951,0.798572965,0.612960338
17,"AL, Baldwin, 01003010500",1003010500,"+30.8969612,-087.7737368",0.544783885,0.586303651,0.415631479,0.543705616,0.376668498,0.568126861,0.75592504,0.567126052
18,"AL, Baldwin, 01003010600",1003010600,"+30.8531544,-087.7701913",0.603639913,0.705485088,0.589938433,0.614879551,0.396121018,0.604244879,0.743238796,0.571571625
19,"AL, Baldwin, 01003010701",1003010701,"+30.7174494,-087.9529225",0.52026376,0.404365965,0.322911457,0.49374108,0.381685403,0.554982806,0.797358339,0.686801268
20,"AL, Baldwin, 01003010703",1003010703,"+30.6479321,-087.8438451",0.521756625,0.343183072,0.32442519,0.594545815,0.313481666,0.557090522,0.836671143,0.682898967
21,"AL, Baldwin, 01003010704",1003010704,"+30.6477601,-087.8838007",0.508634079,0.464761614,0.303704413,0.51245943,0.324193726,0.558045445,0.747358731,0.649915195
22,"AL, Baldwin, 01003010705",1003010705,"+30.6604947,-087.9557115",0.520590428,0.449224904,0.397367936,0.523526622,0.332864973,0.496260089,0.781735502,0.663152972
23,"AL, Baldwin, 01003010800",1003010800,"+30.5948374,-087.9005515",0.530532336,0.580780529,0.460705916,0.424964045,0.242625627,0.574067413,0.773714618,0.656868202
24,"AL, Baldwin, 01003010903",1003010903,"+30.6086605,-087.7783750",0.561738649,0.569745762,0.5092304,0.629394587,0.299597121,0.572627254,0.768446705,0.583128715
25,"AL, Baldwin, 01003010904",1003010904,"+30.5640707,-087.5731188",0.574014105,0.631535807,0.397587702,0.580476172,0.338110714,0.570881453,0.799273449,0.700233436
26,"AL, Baldwin, 01003010905",1003010905,"+30.5345606,-087.7548736",0.553257375,0.565684726,0.427189822,0.618533146,0.266256504,0.563793448,0.824781954,0.606562026
27,"AL, Baldwin, 01003010906",1003010906,"+30.5641292,-087.6870074",0.563401886,0.637501133,0.523654457,0.600802238,0.279774396,0.562635592,0.753404658,0.586040728
28,"AL, Baldwin, 01003011000",1003011000,"+30.4896994,-087.6767299",0.607480885,0.716259995,0.539982484,0.55625972,0.343917351,0.563793448,0.844585934,0.687567262
29,"AL, Baldwin, 01003011101",1003011101,"+30.5190072,-087.8386361",0.508799229,0.426450517,0.373789654,0.602243741,0.209996597,0.566524881,0.791015897,0.591573313
30,"AL, Baldwin, 01003011102",1003011102,"+30.4799304,-087.8351454",0.513008941,0.483497579,0.277539538,0.621607825,0.243302446,0.536044665,0.753705254,0.675365283
31,"AL, Baldwin, 01003011201",1003011201,"+30.5407976,-087.8916190",0.502719307,0.481602109,0.443381571,0.460215475,0.20094647,0.54200054,0.739098459,0.651790524
32,"AL, Baldwin, 01003011202",1003011202,"+30.5055705,-087.9100953",0.502089619,0.489593803,0.404391854,0.51479765,0.169859304,0.532655451,0.746232516,0.657096756
33,"AL, Baldwin, 01003011300",1003011300,"+30.4293701,-087.8782358",0.502059226,0.478348291,0.306991113,0.515240934,0.251419358,0.490502023,0.800349338,0.671563527
34,"AL, Baldwin, 01003011401",1003011401,"+30.3802759,-087.7703177",0.556493441,0.568738245,0.349450873,0.597367285,0.253486517,0.542652515,0.899892899,0.683865751
35,"AL, Baldwin, 01003011403",1003011403,"+30.3194974,-087.6627032",0.525937414,0.48236211,0.315879025,0.584298935,0.23335957,0.559041513,0.825402188,0.68121856
